image;epaisseur;degré invagination
GLUCO14004 IHC2 CK10 GCp pla0217.tif;220,8965;1,442388
GLUCO14004 IHC2 CK10 GCp pla0220.tif;204,3478;1,237235
GLUCO14004 IHC2 CK10 GCp pla0223.tif;233,5652;1,162153
GLUCO14004 IHC2 CK10 GCp pla0224.tif;168,6538;1,499285
GLUCO14004 IHC2 CK10 GCp pla0227.tif;151,0323;1,330375
GLUCO14004 IHC2 CK10 GCp pla0228.tif;178,3462;1,26617
GLUCO14004 IHC2 CK10 GCp pla0231.tif;221,7143;1,346981
GLUCO14004 IHC2 CK10 GCp pla0232.tif;216,037;1,255049
GLUCO14004 IHC2 CK10 GCp pla0235.tif;215,0385;1,266086
GLUCO14004 IHC2 CK10 GCp pla0236.tif;251,2917;1,129044
GLUCO14004 IHC2 CK10 GCp pla0239.tif;158,1481;1,278565
GLUCO14004 IHC2 CK10 GCp pla0240.tif;165,24;1,325056
GLUCO14004 IHC2 CK10 GCp pla0243.tif;218,6538;1,792436
GLUCO14004 IHC2 CK10 GCp pla0244.tif;222,8148;1,517299
GLUCO14004 IHC2 CK10 GCp pla0247.tif;164,6552;1,489691
;;
;199,3623467;1,3558542
;31,7227523;0,168943726
