image;;epaisseur;;degré invagination
GLUCO14004 IHC2 CK10 GCm0039.tif;;238,1304;;1,423241
GLUCO14004 IHC2 CK10 GCm0042.tif;;174,4583;;1,354765
GLUCO14004 IHC2 CK10 GCm0043.tif;;209,1111;;1,188673
GLUCO14004 IHC2 CK10 GCm0046.tif;;230,48;;1,633309
GLUCO14004 IHC2 CK10 GCm0047.tif;;280,2;;1,661642
GLUCO14004 IHC2 CK10 GCm0050.tif;;459,2105;;1,987375
GLUCO14004 IHC2 CK10 GCm0051.tif;;199,963;;1,87227
GLUCO14004 IHC2 CK10 GCm0054.tif;;258,381;;1,012832
GLUCO14004 IHC2 CK10 GCm0055.tif;;203,7391;;1,444796
GLUCO14004 IHC2 CK10 GCm0058.tif;;186,087;;1,390882
GLUCO14004 IHC2 CK10 GCm0059.tif;;229,8696;;1,226582
GLUCO14004 IHC2 CK10 GCm0062.tif;;235,04;;1,598759
GLUCO14004 IHC2 CK10 GCm0063.tif;;148,0909;;1,402243
GLUCO14004 IHC2 CK10 GCm0066.tif;;210,7692;;1,217929
GLUCO14004 IHC2 CK10 GCm0067.tif;;203,7143;;1,455237
;;;;
;;231,1496267;;1,458035667
;;71,08656644;;0,259867434
