image;;epaisseur;;degré invagination
GLUCO14004 IHC2 CK10 GCp act0309.tif;;139,2143;;1,198442
GLUCO14004 IHC2 CK10 GCp act0312.tif;;163,7917;;1,065404
GLUCO14004 IHC2 CK10 GCp act0313.tif;;207,875;;1,147026
GLUCO14004 IHC2 CK10 GCp act0316.tif;;108,381;;1,005371
GLUCO14004 IHC2 CK10 GCp act0317.tif;;120,0909;;1,069618
GLUCO14004 IHC2 CK10 GCp act0320.tif;;150,5455;;1,239982
GLUCO14004 IHC2 CK10 GCp act0321.tif;;109,4828;;1,185408
GLUCO14004 IHC2 CK10 GCp act0324.tif;;124,6522;;1,000928
GLUCO14004 IHC2 CK10 GCp act0328.tif;;198,5714;;1,270999
GLUCO14004 IHC2 CK10 GCp act0331.tif;;133,6818;;1,026874
GLUCO14004 IHC2 CK10 GCp act0332.tif;;106,6154;;1,023855
GLUCO14004 IHC2 CK10 GCp act0335.tif;;158,1429;;1,066888
GLUCO14004 IHC2 CK10 GCp act0336.tif;;188,2174;;1,047634
GLUCO14004 IHC2 CK10 GCp act0339.tif;;122,1739;;1,033639
GLUCO14004 IHC2 CK10 GCp act0340.tif;;172,48;;1,001746
;;;;
;;146,9277467;;1,092254267
;;33,5301901;;0,091442423
